name,bits,pixels,bpp,y_bpp,z_bpp,mse,psnr(dB),ms-ssim,enc_time(s),dec_time(s),y_enc(ms),y_dec(ms),z_enc(ms),z_dec(ms),param(ms)
"-0.28360998131250864,1.0882708585247933,-10.147301308123556,-8.775420468286237.png",143680.0,393216,0.36539713541666663,0.35815429687499994,0.007242838541666667,4.284828128584195,41.8114695451639,0.9884366989135742,0.6845517158508301,0.12381839752197266,485.83102226257324,7.702112197875977,1.77764892578125,1.4081001281738281,190.03868103027344
"-0.28360998131250864,1.0882708585247933,-3.287897108937001,-1.916016269099713.png",130784.0,393216,0.3326009114583333,0.325927734375,0.006673177083333333,3.9743985722452635,42.13808942722467,0.9879931807518005,0.19381427764892578,0.13250494003295898,4.616737365722656,5.19251823425293,0.16164779663085938,0.2155303955078125,175.19140243530273
"-0.28360998131250864,1.0882708585247933,6.315268769924142,7.687149609761457.png",145472.0,393216,0.3699544270833333,0.363037109375,0.006917317708333333,4.332643441739492,41.76327410965002,0.9886342883110046,0.19223403930664062,0.12120604515075684,4.7130584716796875,5.210638046264648,0.16236305236816406,0.20837783813476562,173.67219924926758
"-0.28360998131250864,1.0882708585247933,7.687149609761457,9.05903044959876.png",128288.0,393216,0.3262532552083333,0.31949869791666663,0.006754557291666667,3.48542260371687,42.70824917505578,0.9897913932800293,0.19278454780578613,0.11467504501342773,4.565954208374023,5.553245544433594,0.1609325408935547,0.26702880859375,174.04651641845703
"-1.6554908211498391,-0.28360998131250864,-11.519182147960857,-10.147301308123556.png",141824.0,393216,0.3606770833333333,0.3533528645833333,0.00732421875,3.9901912892673863,42.12086644659379,0.9883496165275574,0.22921323776245117,0.11235165596008301,4.616260528564453,5.390405654907227,0.17714500427246094,0.2028942108154297,198.5146999359131
"-1.6554908211498391,-0.28360998131250864,-7.403539628448936,-6.03165878861162.png",165504.0,393216,0.4208984375,0.4130859375,0.0078125,5.154312770719116,41.00909592272735,0.9893496036529541,0.1947028636932373,0.11394619941711426,4.724025726318359,5.451440811157227,0.18405914306640625,0.22649765014648438,176.16772651672363
"-1.6554908211498391,-0.28360998131250864,-8.775420468286237,-7.403539628448936.png",149952.0,393216,0.38134765625,0.3744303385416667,0.006917317708333333,4.551015840661421,41.549720137157536,0.9874303340911865,0.21476173400878906,0.13076567649841309,4.7626495361328125,5.698680877685547,0.17261505126953125,0.20599365234375,191.05911254882812
"-1.6554908211498391,-0.28360998131250864,2.1996262504122215,3.571507090249538.png",108992.0,393216,0.2771809895833333,0.2710774739583333,0.006103515625,3.2859707124771376,42.964166725741784,0.9885673522949219,0.1976172924041748,0.1130228042602539,4.804134368896484,5.3882598876953125,0.18477439880371094,0.23603439331054688,178.8327693939209
"-1.6554908211498391,-0.28360998131250864,4.94338793008684,6.315268769924142.png",132032.0,393216,0.3357747395833333,0.3291829427083333,0.006591796875,4.03883550716273,42.06824195191431,0.9884495735168457,0.1924729347229004,0.12264657020568848,4.682064056396484,5.203962326049805,0.16641616821289062,0.2028942108154297,173.96807670593262
"-11.258656700010981,-9.88677586017368,-4.659777948774318,-3.287897108937001.png",152416.0,393216,0.38761393229166663,0.3806966145833333,0.006917317708333333,4.319126900918491,41.77684396561322,0.9882798194885254,0.19826650619506836,0.11657428741455078,4.8198699951171875,5.657434463500977,0.18286705017089844,0.25773048400878906,179.32581901550293
"-11.258656700010981,-9.88677586017368,10.430911289436077,11.802792129273378.png",116319.99999999999,393216,0.29581705729166663,0.2893880208333333,0.006429036458333333,3.738598356540024,42.403715501420805,0.9871043562889099,0.19144582748413086,0.11456775665283203,4.620075225830078,5.613803863525391,0.16260147094726562,0.22149085998535156,172.7120876312256
"-11.258656700010981,-9.88677586017368,11.802792129273378,13.17467296911068.png",116544.0,393216,0.29638671875,0.2900390625,0.00634765625,3.4716150946223934,42.72548792850791,0.9883730411529541,0.22656822204589844,0.11167240142822266,4.577875137329102,5.3234100341796875,0.16188621520996094,0.20074844360351562,192.4278736114502
"-11.258656700010981,-9.88677586017368,9.05903044959876,10.430911289436077.png",111936.0,393216,0.28466796875,0.2782389322916667,0.006429036458333333,3.5547695691093395,42.6226890716859,0.9868406057357788,0.1935899257659912,0.11341619491577148,4.868268966674805,5.267620086669922,0.17189979553222656,0.23674964904785156,175.02832412719727
"-12.630537539848284,-11.258656700010981,-0.5441354292623967,0.8277454105749196.png",80896.0,393216,0.20572916666666666,0.199951171875,0.005777994791666667,2.8131505799137813,43.638873815376265,0.9884605407714844,0.20971417427062988,0.12655091285705566,4.740715026855469,5.465507507324219,0.17189979553222656,0.2219676971435547,186.2177848815918
