name,bits,pixels,bpp,y_bpp,z_bpp,mse,psnr(dB),ms-ssim,enc_time(s),dec_time(s),y_enc(ms),y_dec(ms),z_enc(ms),z_dec(ms),param(ms)
1226.png,109824.0,393216,0.279296875,0.2740885416666667,0.005208333333333333,100.48733436560724,28.109690350493782,0.9423426985740662,0.18525218963623047,0.10911011695861816,4.444360733032227,4.988193511962891,0.1571178436279297,0.19216537475585938,167.6194667816162
1248.png,79872.0,393216,0.203125,0.19807942708333334,0.005045572916666667,95.44956172176171,28.33306422294929,0.9790236949920654,0.18674778938293457,0.10740065574645996,4.543781280517578,4.980802536010742,0.16689300537109375,0.2052783966064453,169.0826416015625
1253.png,120384.0,393216,0.30615234375,0.2982584635416667,0.007893880208333334,157.2582176013384,26.164670118973895,0.9543454647064209,0.18528079986572266,0.11356449127197266,4.457950592041016,5.176067352294922,0.179290771484375,0.1933574676513672,167.77753829956055
1257.png,180576.0,393216,0.459228515625,0.4519856770833333,0.007242838541666667,235.3580915427301,24.413512270506587,0.9342784881591797,0.18783974647521973,0.11022019386291504,4.52423095703125,5.006074905395508,0.15997886657714844,0.23436546325683594,170.35794258117676
1258.png,145824.0,393216,0.370849609375,0.3611653645833333,0.009684244791666666,227.6037671836093,24.559009148605444,0.9528891444206238,0.18450164794921875,0.11237287521362305,4.63557243347168,5.192279815673828,0.1652240753173828,0.19216537475585938,166.97263717651367
1271.png,145248.0,393216,0.369384765625,0.360107421875,0.00927734375,164.7065663477406,25.963694473584816,0.9659132957458496,0.18847370147705078,0.11057591438293457,4.48298454284668,5.032062530517578,0.15807151794433594,0.20742416381835938,170.83740234375
1283.png,64128.0,393216,0.1630859375,0.15779622395833334,0.005289713541666667,83.33340436220169,28.92261236746346,0.9560167789459229,0.1828923225402832,0.11026906967163086,4.8160552978515625,5.120277404785156,0.1723766326904297,0.24962425231933594,164.83139991760254
1306.png,62112.0,393216,0.157958984375,0.15340169270833334,0.004557291666666667,121.29543224873487,27.29235914383207,0.9180243015289307,0.1863563060760498,0.10924196243286133,4.457235336303711,5.327463150024414,0.15807151794433594,0.20813941955566406,168.8363552093506
1307.png,99200.0,393216,0.2522786458333333,0.24625651041666666,0.006022135416666667,151.7882033076603,26.318423405434082,0.9586435556411743,0.1858530044555664,0.11037564277648926,4.546403884887695,5.199432373046875,0.16450881958007812,0.19693374633789062,168.2744026184082
1316.png,106304.0,393216,0.2703450520833333,0.26310221354166663,0.007242838541666667,155.4647705401294,26.214483706782566,0.9682796001434326,0.18640851974487305,0.1118459701538086,4.476070404052734,5.188465118408203,0.15664100646972656,0.20003318786621094,169.03138160705566
