name,bits,pixels,bpp,y_bpp,z_bpp,mse,psnr(dB),ms-ssim,enc_time(s),dec_time(s),y_enc(ms),y_dec(ms),z_enc(ms),z_dec(ms),param(ms)
"-0.28360998131250864,1.0882708585247933,7.687149609761457,9.05903044959876.png",63775.99999999999,393216,0.1621907552083333,0.1536458333333333,0.008544921875,3.216350520779088,43.05716988408161,0.9895694255828856,2.773990631103516,3.038086175918579,2115.0941848754883,2459.5837593078613,21.06785774230957,51.166534423828125,583.09006690979
"-1.6554908211498391,-0.28360998131250864,-11.519182147960857,-10.147301308123556.png",77088.0,393216,0.196044921875,0.1871744791666666,0.0088704427083333,3.5273941857667523,42.656263661458105,0.9886769652366638,2.7730438709259038,3.0406334400177,2116.9562339782715,2461.7278575897217,20.801782608032227,49.52406883239746,582.2546482086182
"-1.6554908211498391,-0.28360998131250864,-7.403539628448936,-6.03165878861162.png",89984.0,393216,0.2288411458333333,0.2199707031249999,0.0088704427083333,3.934790693438117,42.18158725342455,0.9900918006896972,2.775231122970581,3.036375999450684,2112.8320693969727,2454.397201538086,20.526647567749023,50.41909217834473,588.0017280578613
"-1.6554908211498391,-0.28360998131250864,-8.775420468286237,-7.403539628448936.png",83584.0,393216,0.2125651041666666,0.2041015625,0.0084635416666666,3.7660300410607306,42.371965808710485,0.9879918098449708,2.780812978744507,3.291643619537353,2118.125915527344,2660.341739654541,20.71833610534668,51.21588706970215,587.151050567627
"-1.6554908211498391,-0.28360998131250864,2.1996262504122215,3.571507090249538.png",57888.0,393216,0.147216796875,0.1388346354166666,0.0083821614583333,3.110796456985554,43.20208765220448,0.987983226776123,2.972964286804199,3.246553897857666,2261.5532875061035,2627.840757369995,22.77517318725586,54.23974990844727,630.4304599761963
"-1.6554908211498391,-0.28360998131250864,4.94338793008684,6.315268769924142.png",67328.0,393216,0.1712239583333333,0.1627604166666666,0.0084635416666666,3.304529993692995,42.93970662753081,0.988832950592041,2.9520537853240967,3.001805305480957,2242.2280311584477,2420.1109409332275,23.48184585571289,54.76045608520508,627.708911895752
"-11.258656700010981,-9.88677586017368,-4.659777948774318,-3.287897108937001.png",87904.0,393216,0.2235514322916666,0.2151692708333333,0.0083821614583333,3.703238614525617,42.44498664580529,0.9892339706420898,2.74560284614563,3.017197847366333,2086.2011909484863,2435.576677322388,20.820140838623047,51.29241943359375,583.6291313171387
"-11.258656700010981,-9.88677586017368,10.430911289436077,11.802792129273378.png",59968.0,393216,0.1525065104166666,0.1437174479166666,0.0087890625,3.301809085496643,42.943284026353645,0.9867620468139648,2.8162121772766118,3.0332839488983154,2158.6763858795166,2454.7061920166016,21.04401588439941,51.275014877319336,581.6211700439453
"-11.258656700010981,-9.88677586017368,11.802792129273378,13.17467296911068.png",59008.0,393216,0.1500651041666666,0.1416829427083333,0.0083821614583333,3.0315868499201315,43.31410346304256,0.9886798858642578,2.7823615074157715,3.0226874351501465,2127.7501583099365,2445.887565612793,20.947694778442383,50.70924758911133,579.4801712036133
"-11.258656700010981,-9.88677586017368,9.05903044959876,10.430911289436077.png",54880.0,393216,0.1395670572916666,0.130859375,0.0087076822916666,3.267525689534523,42.98861350145786,0.9863820672035216,2.7768101692199707,3.039947748184204,2120.0475692749023,2462.780237197876,21.136999130249023,50.22883415222168,581.8929672241211
"-12.630537539848284,-11.258656700010981,-0.5441354292623967,0.8277454105749196.png",32384.0,393216,0.0823567708333333,0.0735677083333333,0.0087890625,2.9285722531312786,43.464244175477695,0.9865195155143738,2.7732410430908203,3.036458969116211,2116.262674331665,2461.803674697876,20.46728134155273,50.24957656860352,582.6947689056396
"-12.630537539848284,-11.258656700010981,-3.287897108937001,-1.916016269099713.png",57888.0,393216,0.147216796875,0.1387532552083333,0.0084635416666666,3.083828665785404,43.23990119754548,0.989012897014618,2.764869213104248,3.030264377593994,2108.912229537964,2452.714681625366,20.51687240600586,50.10747909545898,581.8088054656982
"-12.630537539848284,-11.258656700010981,-6.03165878861162,-4.659777948774318.png",38368.0,393216,0.0975748697916666,0.0887858072916666,0.0087890625,2.947832460358768,43.43577564044988,0.9868866801261902,2.7886440753936768,2.998492956161499,2125.6251335144043,2405.200242996216,20.845890045166016,50.22764205932617,588.2728099822998
"-12.630537539848284,-11.258656700010981,2.1996262504122215,3.571507090249538.png",45664.0,393216,0.1161295572916666,0.1080729166666666,0.008056640625,2.9003412338170165,43.50631263918756,0.9872835278511048,2.7824435234069824,3.00156831741333,2121.4747428894043,2425.222873687744,20.431995391845703,50.069332122802734,586.7712497711182
"-15.374299219522914,-14.002418379685613,-1.916016269099713,-0.5441354292623967.png",48288.0,393216,0.122802734375,0.114013671875,0.0087890625,3.2945150076557184,42.95288870618224,0.9865685105323792,2.78506088256836,3.016456365585327,2128.997564315796,2444.0529346466064,20.515918731689453,49.85308647155762,582.118034362793
"-15.374299219522914,-14.002418379685613,-10.147301308123556,-8.775420468286237.png",60288.0,393216,0.1533203125,0.1446940104166666,0.0086263020833333,3.2056944583018776,43.07158234427143,0.9882332682609558,2.781225681304932,3.029050588607788,2111.258029937744,2452.3019790649414,20.31731605529785,50.102949142456055,596.0369110107422
"-15.374299219522914,-14.002418379685613,-6.03165878861162,-4.659777948774318.png",55008.0,393216,0.139892578125,0.130859375,0.009033203125,3.215273701607657,43.058624125226174,0.9875635504722596,2.770500659942627,3.030738353729248,2112.2725009918213,2454.3204307556152,20.63465118408203,50.3544807434082,583.6281776428223
"-15.374299219522914,-14.002418379685613,0.8277454105749196,2.1996262504122215.png",31456.0,393216,0.0799967447916666,0.0712076822916666,0.0087890625,2.625264322705334,43.93907324320903,0.9881060719490052,2.7761693000793457,3.024846315383911,2117.537021636963,2452.3162841796875,20.63727378845215,50.078630447387695,584.3722820281982
"-15.374299219522914,-14.002418379685613,13.17467296911068,14.546553808948.png",71360.0,393216,0.1814778645833333,0.1732584635416666,0.0082194010416666,3.2334275197172246,43.0341723059008,0.9890336394309998,2.696765422821045,3.030267238616944,2027.2042751312256,2452.2218704223637,20.69973945617676,50.28057098388672,595.0639247894287
"-16.746180059360217,-15.374299219522914,-0.5441354292623967,0.8277454105749196.png",49951.99999999999,393216,0.1270345052083333,0.1187337239583333,0.00830078125,2.625381656253012,43.9388791439972,0.9897956848144532,2.775080919265747,3.0202956199646,2112.9493713378906,2447.97945022583,20.825624465942383,50.67849159240723,587.0137214660645
