name,bits,pixels,bpp,y_bpp,z_bpp,mse,psnr(dB),ms-ssim,enc_time(s),dec_time(s),y_enc(ms),y_dec(ms),z_enc(ms),z_dec(ms),param(ms)
0019.png,36672.0,393216,0.09326171875,0.0862630208333333,0.0069986979166666,75.84031746955588,29.33180218566016,0.9792755246162416,2.9341514110565186,3.0557456016540527,2258.9635848999023,2475.54612159729,21.619319915771484,55.61327934265137,594.5258140563965
0034.png,61759.99999999999,393216,0.1570638020833333,0.1499023437499999,0.0071614583333333,192.42282446357424,25.288237757510142,0.972062349319458,2.760272026062012,3.0229332447052,2105.632305145264,2447.6661682128906,21.099328994750977,50.56452751159668,579.7865390777588
0037.png,50752.0,393216,0.1290690104166666,0.1222330729166666,0.0068359375,120.41515055461788,27.32399227863731,0.9850769639015198,2.778661012649536,2.887523651123047,2122.7476596832275,2310.251951217652,21.35562896728516,51.29051208496094,580.0793170928955
0071.png,17728.0,393216,0.0450846354166666,0.0399576822916666,0.005126953125,70.17550677701365,29.66894803264093,0.9688238501548768,2.687549114227295,2.8806352615356445,2025.9625911712649,2305.781364440918,21.384239196777344,50.278425216674805,586.6479873657227
0073.png,42176.0,393216,0.1072591145833333,0.1009114583333333,0.00634765625,145.93029187526554,26.489349097642062,0.9627798199653624,2.676694393157959,2.898005247116089,2021.916389465332,2319.546699523926,20.80631256103516,50.41837692260742,580.3959369659424
0080.png,129728.0,393216,0.3299153645833333,0.3232421875,0.0066731770833333,515.210245270282,21.0109587021936,0.9187548756599426,2.6800711154937744,2.901806116104126,2022.7301120758057,2311.9823932647705,20.691871643066406,50.36020278930664,583.2197666168213
0084.png,15967.999999999998,393216,0.0406087239583333,0.0346679687499999,0.0059407552083333,67.34463433676865,29.847773617110995,0.947961151599884,2.675097703933716,2.8783183097839355,2022.2179889678955,2308.121919631958,20.53523063659668,51.31435394287109,577.9666900634766
0140.png,29568.0,393216,0.0751953125,0.0694173177083333,0.0057779947916666,107.50483432493638,27.81652366630828,0.9583609104156494,2.6735262870788574,2.8790104389190674,2021.4054584503172,2303.7779331207275,21.190166473388672,49.7431755065918,578.1123638153076
0154.png,42944.0,393216,0.1092122395833333,0.1021321614583333,0.007080078125,128.00596493761986,27.058501531018067,0.9737472534179688,2.673851251602173,2.8911244869232178,2017.1871185302732,2315.359592437744,20.94292640686035,50.39358139038086,582.1456909179688
0162.png,31040.0,393216,0.0789388020833333,0.0733235677083333,0.005615234375,96.48916723381262,28.286018027019477,0.937967836856842,2.660156488418579,2.858922481536865,2002.087116241455,2290.1906967163086,20.96128463745117,50.71830749511719,583.1799507141113
0174.png,112160.0,393216,0.2852376302083333,0.2796223958333333,0.005615234375,369.587806344498,22.453627265791923,0.970973789691925,2.679870843887329,2.872666835784912,2018.500804901123,2296.237230300904,20.80607414245605,49.77679252624512,587.7270698547363
0182.png,43296.0,393216,0.110107421875,0.1028645833333333,0.0072428385416666,109.2692735051969,27.74582305260193,0.970630943775177,2.6720478534698486,2.874918937683105,2019.817590713501,2296.031951904297,21.17466926574707,51.25117301940918,576.5602588653564
0183.png,109344.0,393216,0.278076171875,0.272705078125,0.00537109375,381.2827665475197,22.318331846591647,0.9682619571685792,2.679778575897217,2.8817639350891118,2019.7696685791016,2306.880474090576,20.832061767578125,50.46296119689941,585.5591297149658
0184.png,32192.0,393216,0.0818684895833333,0.0753580729166666,0.0065104166666666,127.34234153176658,27.08107529593456,0.9690738320350648,2.68123722076416,2.915980815887451,2021.1927890777588,2345.4089164733887,20.557403564453125,50.603628158569336,585.7620239257812
0196.png,72896.0,393216,0.1853841145833333,0.1782226562499999,0.0071614583333333,267.4763712915592,23.8579493814034,0.9627463817596436,2.6757185459136963,2.887129783630371,2019.9427604675293,2308.166980743408,22.222280502319336,51.499128341674805,578.8021087646484
0216.png,74592.0,393216,0.189697265625,0.182861328125,0.0068359375,222.51688098767767,24.657173970489403,0.9454545974731444,2.682177782058716,2.893951177597046,2025.075912475586,2313.737154006958,21.312952041625977,50.75907707214356,581.8064212799072
0221.png,18528.0,393216,0.047119140625,0.0415852864583333,0.0055338541666666,63.04490484762937,30.134303672779744,0.958207905292511,2.6981635093688965,2.883875608444214,2021.1074352264404,2307.500123977661,21.263599395751957,50.61793327331543,601.9852161407471
